        0.0000   1.010872   0.451506   1.462378 
      100.0000  -0.088774   0.446477   0.357703 
      200.0000  -0.100567   0.444370   0.343803 
      300.0000  -0.103715   0.445645   0.341931 
      400.0000  -0.111187   0.457350   0.346162 
      500.0000  -0.110811   0.439614   0.328803 
      600.0000  -0.113966   0.463784   0.349818 
      700.0000  -0.102573   0.437418   0.334845 
      800.0000  -0.115885   0.454277   0.338392 
      900.0000  -0.119752   0.440596   0.320845 
     1000.0000  -0.122321   0.447497   0.325177 
     1100.0000  -0.112314   0.449705   0.337391 
     1200.0000  -0.105810   0.452609   0.346799 
